palabra,sentimiento
desagradable,tristeza
desagradable,asco
desagradable,negativo
desagradable,tristeza
desagradable,negativo
desajuste,negativo
desalentador,negativo
desalentador,tristeza
desalentar,miedo
desalentar,negativo
desalentar,tristeza
desaliento,negativo
desalojar,negativo
desalojar,tristeza
desalojo,enfado
desalojo,asco
desalojo,miedo
desalojo,negativo
desalojo,tristeza
desaparecer,miedo
desaparecer,sorpresa
desaparecida,miedo
desaparecida,negativo
desaparecida,tristeza
desaparecida,miedo
desaparecida,negativo
desaparecida,tristeza
desaparecida,sorpresa
desaparecido,miedo
desaparecido,negativo
desaparecido,tristeza
desaparecido,miedo
desaparecido,negativo
desaparecido,tristeza
desaparecido,sorpresa
desapasionada,negativo
desapasionada,tristeza
desapasionado,negativo
desapasionado,tristeza
desapego,negativo
desaprobación,negativo
desaprobación,tristeza
desaprobación,enfado
desaprobación,asco
desaprobación,negativo
desaprobación,tristeza
desaprobada,enfado
desaprobada,negativo
desaprobada,tristeza
desaprobado,enfado
desaprobado,negativo
desaprobado,tristeza
desaprobar,enfado
desaprobar,asco
desaprobar,miedo
desaprobar,negativo
desaprobar,tristeza
desarrollar,anticipación
desarrollar,positivo
desastre,enfado
desastre,asco
desastre,miedo
desastre,negativo
desastre,tristeza
desastre,sorpresa
desastroso,enfado
desastroso,miedo
desastroso,negativo
desastroso,tristeza
desatar,alegría
desatar,negativo
desatar,positivo
desayuno,positivo
descalificación,negativo
descalificada,enfado
descalificada,asco
descalificada,negativo
descalificada,tristeza
descalificado,enfado
descalificado,asco
descalificado,negativo
descalificado,tristeza
descalificar,negativo
descalificar,tristeza
descanso,sorpresa
descanso,anticipación
descanso,positivo
descarada,enfado
descarada,negativo
descarado,enfado
descarado,negativo
descarga,negativo
descartes,negativo
descendencia,miedo
descendencia,tristeza
descenso,negativo
descolorada,asco
descolorada,negativo
descolorada,tristeza
descolorado,asco
descolorado,negativo
descolorado,tristeza
descoloramiento,asco
descoloramiento,negativo
descolorarse,negativo
descomponer,asco
descomposición,asco
descomposición,miedo
descomposición,negativo
descomposición,tristeza
descompostura,negativo
descompuesto,tristeza
descomunal,miedo
desconcertada,miedo
desconcertada,negativo
desconcertada,sorpresa
desconcertado,miedo
desconcertado,negativo
desconcertado,sorpresa
desconcierto,miedo
desconcierto,sorpresa
desconectada,negativo
desconectada,tristeza
desconectado,negativo
desconectado,tristeza
desconectar,negativo
desconectar,tristeza
desconexión,negativo
desconfianza,enfado
desconfianza,asco
desconfianza,miedo
desconfianza,negativo
desconfianza,asco
desconfianza,miedo
desconfianza,negativo
desconocida,miedo
desconocida,negativo
desconocida,anticipación
desconocida,miedo
desconocida,negativo
desconocido,miedo
desconocido,negativo
desconocido,anticipación
desconocido,miedo
desconocido,negativo
desconsiderada,enfado
desconsiderada,asco
desconsiderada,negativo
desconsiderada,tristeza
desconsiderada,enfado
desconsiderada,asco
desconsiderada,negativo
desconsiderado,enfado
desconsiderado,asco
desconsiderado,negativo
desconsiderado,tristeza
desconsiderado,enfado
desconsiderado,asco
desconsiderado,negativo
desconsolada,negativo
desconsolada,tristeza
desconsolado,negativo
desconsolado,tristeza
descontento,enfado
descontento,asco
descontento,miedo
descontento,negativo
descontento,tristeza
descontento,enfado
descontento,asco
descontento,negativo
descontento,tristeza
descorazonada,negativo
descorazonada,tristeza
descorazonado,negativo
descorazonado,tristeza
descortés,asco
descortés,negativo
descrédito,negativo
descriptivo,positivo
descubrimiento,positivo
descubrir,sorpresa
descuida,enfado
descuida,asco
descuida,negativo
descuidada,enfado
descuidada,asco
descuidada,negativo
descuidada,tristeza
descuidada,negativo
descuidada,enfado
descuidada,asco
descuidada,negativo
descuidada,tristeza
descuidado,enfado
descuidado,asco
descuidado,negativo
descuidado,tristeza
descuidado,negativo
descuidado,enfado
descuidado,asco
descuidado,negativo
descuidado,tristeza
descuidando,negativo
descuido,enfado
descuido,asco
descuido,negativo
desdén,enfado
desdén,asco
desdén,negativo
desdén,enfado
desdén,negativo
desdeñoso,enfado
desdeñoso,negativo
desdichada,asco
desdichada,negativo
desdichada,tristeza
desdichado,asco
desdichado,negativo
desdichado,tristeza
deseable,positivo
deseando,positivo
desecho,negativo
deseducada,negativo
deseducada,tristeza
deseducado,negativo
deseducado,tristeza
desempleados,miedo
desempleados,negativo
desempleados,tristeza
desenfrenada,enfado
desenfrenada,miedo
desenfrenada,negativo
desenfrenada,sorpresa
desenfrenada,enfado
desenfrenada,anticipación
desenfrenada,miedo
desenfrenada,negativo
desenfrenada,positivo
desenfrenada,sorpresa
desenfrenado,enfado
desenfrenado,miedo
desenfrenado,negativo
desenfrenado,sorpresa
desenfrenado,enfado
desenfrenado,anticipación
desenfrenado,miedo
desenfrenado,negativo
desenfrenado,positivo
desenfrenado,sorpresa
deseoso,positivo
deseoso,anticipación
deserción,miedo
deserción,negativo
deserción,negativo
deservicio,enfado
deservicio,asco
deservicio,negativo
deservicio,tristeza
desesperación,enfado
desesperación,asco
desesperación,miedo
desesperación,negativo
desesperación,tristeza
desesperación,enfado
desesperación,asco
desesperación,miedo
desesperación,negativo
desesperación,tristeza
desesperada,miedo
desesperada,negativo
desesperada,tristeza
desesperada,negativo
desesperado,miedo
desesperado,negativo
desesperado,tristeza
desesperado,negativo
desestimada,enfado
desestimada,asco
desestimada,miedo
desestimada,negativo
desestimada,tristeza
desestimado,enfado
desestimado,asco
desestimado,miedo
desestimado,negativo
desestimado,tristeza
desestructurada,negativo
desestructurado,negativo
desfallecer,miedo
desfallecer,negativo
desfavorable,asco
desfavorable,negativo
desfavorable,tristeza
desfigurada,enfado
desfigurada,asco
desfigurada,miedo
desfigurada,negativo
desfigurada,tristeza
desfigurado,enfado
desfigurado,asco
desfigurado,miedo
desfigurado,negativo
desfigurado,tristeza
desfile,anticipación
desfile,miedo
desfile,alegría
desfile,negativo
desfile,positivo
desfile,sorpresa
desgarrar,negativo
desgracia,enfado
desgracia,asco
desgracia,negativo
desgracia,tristeza
desgracia,miedo
desgracia,negativo
desgracia,tristeza
desgraciada,negativo
desgraciada,tristeza
desgraciada,enfado
desgraciada,asco
desgraciada,negativo
desgraciada,tristeza
desgraciado,negativo
desgraciado,tristeza
desgraciado,enfado
desgraciado,asco
desgraciado,negativo
desgraciado,tristeza
deshacer,negativo
deshecho,enfado
deshecho,negativo
deshecho,tristeza
deshonestidad,asco
deshonestidad,negativo
deshonesto,enfado
deshonesto,asco
deshonesto,negativo
deshonesto,tristeza
deshonra,enfado
deshonra,asco
deshonra,miedo
deshonra,negativo
deshonra,tristeza
desierto,anticipación
desierto,miedo
desierto,tristeza
desierto,enfado
desierto,asco
desierto,miedo
desierto,negativo
desierto,tristeza
designacion,confianza
desigual,enfado
desigual,asco
desigual,miedo
desigual,negativo
desigual,tristeza
desigual,negativo
desigualdad,enfado
desigualdad,miedo
desigualdad,negativo
desigualdad,tristeza
desilusión,enfado
desilusión,asco
desilusión,negativo
desilusión,tristeza
desinfección,positivo
desinflar,enfado
desinflar,negativo
desinflar,tristeza
desinformación,enfado
desinformación,miedo
desinformación,negativo
desintegración,negativo
desintegrarse,asco
desintegrarse,miedo
desintegrarse,negativo
desinteresada,negativo
desinteresada,negativo
desinteresada,tristeza
desinteresado,negativo
desinteresado,negativo
desinteresado,tristeza
desistir,enfado
desistir,asco
desistir,negativo
desleal,negativo
desleal,tristeza
deslizamiento,anticipación
deslizamiento,alegría
deslizamiento,positivo
deslizamiento de tierra,miedo
deslizamiento de tierra,negativo
deslizamiento de tierra,tristeza
deslucida,negativo
deslucido,negativo
deslumbrador,enfado
deslumbrador,negativo
deslumbramiento,enfado
deslumbramiento,miedo
deslumbramiento,negativo
deslustre,asco
deslustre,negativo
deslustre,tristeza
desmañada,negativo
desmañado,negativo
desmayo,anticipación
desmayo,alegría
desmayo,positivo
desmayo,confianza
desmayo,miedo
desmayo,negativo
desmayo,tristeza
desmayo,sorpresa
desmembramiento,asco
desmembramiento,miedo
desmembramiento,negativo
desmembramiento,tristeza
desmoralizada,miedo
desmoralizada,negativo
desmoralizada,tristeza
desmoralizado,miedo
desmoralizado,negativo
desmoralizado,tristeza
desmoronando,negativo
desmoronando,tristeza
desobedecer,enfado
desobedecer,asco
desobedecer,negativo
desobediencia,enfado
desobediencia,asco
desobediencia,negativo
desobediente,enfado
desobediente,negativo
desolada,negativo
desolada,tristeza
desolada,asco
desolada,negativo
desolada,tristeza
desolado,negativo
desolado,tristeza
desolado,asco
desolado,negativo
desolado,tristeza
desorden,enfado
desorden,miedo
desorden,negativo
desordenada,negativo
desordenada,asco
desordenada,negativo
desordenado,negativo
desordenado,asco
desordenado,negativo
despecho,enfado
despecho,negativo
despectivo,enfado
despectivo,asco
despectivo,miedo
despectivo,negativo
despectivo,tristeza
despectivo,enfado
despectivo,asco
despectivo,negativo
despectivo,tristeza
despeje,positivo
despeje,confianza
desperdicios,negativo
despertar,anticipación
despertar,positivo
despiadada,miedo
despiadada,negativo
despiadado,miedo
despiadado,negativo
despida,enfado
despida,asco
despida,miedo
despida,negativo
despida,tristeza
despida,sorpresa
despido,enfado
despido,asco
despido,miedo
despido,negativo
despido,tristeza
despido,sorpresa
desplazada,enfado
desplazada,miedo
desplazada,tristeza
desplazado,enfado
desplazado,miedo
desplazado,tristeza
desplazar,negativo
desplegar,anticipación
desplegar,positivo
despojada,enfado
despojada,anticipación
despojada,asco
despojada,miedo
despojada,negativo
despojada,tristeza
despojado,enfado
despojado,anticipación
despojado,asco
despojado,miedo
despojado,negativo
despojado,tristeza
despojo,negativo
despojos mortales,negativo
despojos mortales,tristeza
desposeída,enfado
desposeída,miedo
desposeída,negativo
desposeída,tristeza
desposeído,enfado
desposeído,miedo
desposeído,negativo
desposeído,tristeza
despótico,miedo
despótico,negativo
despótico,enfado
despótico,negativo
despotismo,enfado
despotismo,asco
despotismo,miedo
despotismo,negativo
despotismo,tristeza
despreciable,enfado
despreciable,asco
despreciable,negativo
despreciable,enfado
despreciable,asco
despreciable,negativo
despreciar,enfado
despreciar,asco
despreciar,negativo
desprecio,enfado
desprecio,asco
desprecio,miedo
desprecio,negativo
despreocupada,enfado
despreocupada,asco
despreocupada,negativo
despreocupada,tristeza
despreocupado,enfado
despreocupado,asco
despreocupado,negativo
despreocupado,tristeza
desprevenida,negativo
desprevenido,negativo
desprotegida,negativo
desprotegido,negativo
desterrar,enfado
desterrar,asco
desterrar,miedo
desterrar,negativo
desterrar,tristeza
destierro,enfado
destierro,asco
destierro,negativo
destierro,tristeza
destilación,positivo
destinada,anticipación
destinado,anticipación
destinado a,anticipación
destinado a,positivo
destino,anticipación
destino,miedo
destino,alegría
destino,positivo
destino,tristeza
destino,sorpresa
destino,anticipación
destino,negativo
destreza,positivo
destrozada,negativo
destrozada,tristeza
destrucción,enfado
destrucción,negativo
destructivo,enfado
destructivo,asco
destructivo,miedo
destructivo,negativo
destructor,enfado
destructor,miedo
destructor,negativo
destruida,enfado
destruida,miedo
destruida,negativo
destruida,tristeza
destruido,enfado
destruido,miedo
destruido,negativo
destruido,tristeza
destruyendo,enfado
destruyendo,miedo
destruyendo,negativo
destruyendo,tristeza
desuso,negativo
desventaja,negativo
desventaja,tristeza
desvergonzada,asco
desvergonzada,negativo
desvergonzado,asco
desvergonzado,negativo
desviación,tristeza
desviación,positivo
desviación,sorpresa
detección,positivo
detectar,positivo
detención,miedo
detención,negativo
detención,negativo
detención,tristeza
detener,negativo
detenida,enfado
detenida,anticipación
detenida,miedo
detenida,negativo
detenida,tristeza
detenido,enfado
detenido,anticipación
detenido,miedo
detenido,negativo
detenido,tristeza
deteriorada,asco
deteriorada,negativo
deteriorada,tristeza
deteriorada,asco
deteriorada,negativo
deteriorada,tristeza
deteriorado,asco
deteriorado,negativo
deteriorado,tristeza
deteriorado,asco
deteriorado,negativo
deteriorado,tristeza
deteriorarse,miedo
deteriorarse,negativo
deteriorarse,tristeza
deterioro,enfado
deterioro,asco
deterioro,miedo
deterioro,negativo
deterioro,tristeza
determinación,positivo
determinación,confianza
determinada,anticipación
determinada,confianza
determinada,positivo
determinado,anticipación
determinado,confianza
determinado,positivo
detestar,enfado
detestar,asco
detestar,negativo
detestar,enfado
detestar,asco
detestar,negativo
detonación,enfado
detonar,miedo
detonar,negativo
detonar,sorpresa
detraer,enfado
detraer,negativo
detrimento,negativo
detrito,negativo
deuda,negativo
deuda,tristeza
deudor,negativo
deudor,miedo
devastación,enfado
devastación,miedo
devastación,negativo
devastación,tristeza
devastación,sorpresa
devastador,enfado
devastador,asco
devastador,miedo
devastador,negativo
devastador,tristeza
devastador,confianza
devastar,enfado
devastar,miedo
devastar,negativo
devastar,tristeza
devolución,negativo
devorar,negativo
devoto,anticipación
devoto,alegría
devoto,positivo
devoto,confianza
día del juicio final,enfado
día del juicio final,anticipación
día del juicio final,asco
día del juicio final,miedo
día del juicio final,negativo
día del juicio final,tristeza
día siguiente,anticipación
diablo,enfado
diablo,anticipación
diablo,asco
diablo,miedo
diablo,negativo
diablo,tristeza
diabólico,asco
diabólico,miedo
diabólico,negativo
diabólico,enfado
diabólico,asco
diabólico,miedo
diabólico,negativo
diácono,confianza
diagnóstico,anticipación
diagnóstico,miedo
diagnóstico,negativo
diagnóstico,confianza
diamante,alegría
diamante,positivo
diario,anticipación
diario,alegría
diario,positivo
diario,confianza
diarrea,asco
diatriba,enfado
diatriba,asco
diatriba,negativo
diatriba,enfado
diatriba,asco
diatriba,negativo
diccionario,positivo
diccionario,confianza
dictador,miedo
dictador,negativo
dictadura,enfado
dictadura,anticipación
dictadura,asco
dictadura,miedo
dictadura,negativo
dictadura,tristeza
dictamen,confianza
dictatorial,enfado
dictatorial,negativo
didáctico,positivo
dietético,anticipación
dietético,positivo
difamación,asco
difamación,miedo
difamación,negativo
difamación,enfado
difamación,miedo
difamación,negativo
difamación,confianza
difamatorio,enfado
difamatorio,negativo
difamatorio,negativo
diferencial,confianza
diferentemente,sorpresa
difícil,miedo
difícil,negativo
difícil,tristeza
difícil,asco
difícil,miedo
difícil,negativo
dificultad,enfado
dificultad,miedo
dificultad,negativo
dificultad,tristeza
dificultades,negativo
dificultades,tristeza
difuminar,negativo
difunto,negativo
difunto,tristeza
dígito,confianza
dignidad,positivo
dignidad,confianza
digno,positivo
digno,positivo
digno,confianza
dilación,negativo
dilema,enfado
dilema,miedo
dilema,negativo
diligencia,positivo
diligencia,confianza
dilucidar,positivo
dilucidar,confianza
diluida,negativo
diluido,negativo
diluvio,miedo
diluvio,negativo
diluvio,tristeza
diluvio,sorpresa
dimes y diretes,enfado
dimes y diretes,asco
dimes y diretes,negativo
dinámica,sorpresa
dinero,enfado
dinero,anticipación
dinero,alegría
dinero,positivo
dinero,sorpresa
dinero,confianza
dinosaurio,miedo
dios,anticipación
dios,miedo
dios,alegría
dios,positivo
dios,confianza
diplomacia,anticipación
diplomacia,positivo
diplomacia,confianza
diplomático,positivo
diplomático,confianza
diplomático,asco
diplomático,positivo
diputada,confianza
diputado,confianza
dique,miedo
dique,confianza
dirección,positivo
dirección,confianza
direcciones,anticipación
direcciones,positivo
director,positivo
director,confianza
director de escuela,positivo
director de escuela,confianza
dirigir,positivo
discapacidad,negativo
discapacidad,tristeza
discapacidad,negativo
discapacitada,miedo
discapacitada,negativo
discapacitada,tristeza
discapacitado,miedo
discapacitado,negativo
discapacitado,tristeza
disciplina,miedo
disciplina,negativo
discípulo,confianza
discontinuidad,asco
discontinuidad,miedo
discontinuidad,negativo
discontinuidad,tristeza
discorde,miedo
discorde,negativo
discorde,tristeza
discordia,enfado
discordia,asco
discordia,negativo
discreción,anticipación
discreción,positivo
discreción,confianza
discrecional,positivo
discrepar,enfado
discrepar,negativo
discreto,anticipación
discreto,positivo
discriminación,enfado
discriminación,asco
discriminación,miedo
discriminación,negativo
discriminación,tristeza
discriminante,asco
discriminante,negativo
discriminar,enfado
discriminar,negativo
discriminar,tristeza
disculpa,positivo
discusión,positivo
discutible,negativo
discutidor,negativo
discutir,enfado
discutir,negativo
disección,asco
diseminar,positivo
disensión,enfado
disensión,negativo
disentería,asco
disentería,negativo
disentería,tristeza
diseñador,positivo
disfrutando,anticipación
disfrutando,alegría
disfrutando,positivo
disfrutando,confianza
disfrutar,anticipación
disfrutar,alegría
disfrutar,positivo
disfrutar,confianza
disgustada,enfado
disgustada,asco
disgustada,miedo
disgustada,negativo
disgustada,tristeza
disgustado,enfado
disgustado,asco
disgustado,miedo
disgustado,negativo
disgustado,tristeza
disgusto,asco
disgusto,negativo
disgusto,tristeza
disgusto,enfado
disgusto,asco
disgusto,negativo
disgusto,asco
disgusto,negativo
disgusto,asco
disgusto,negativo
disidente,negativo
disidente,enfado
disidente,miedo
disidente,negativo
disipar,negativo
disipar,tristeza
dislocada,enfado
dislocada,asco
dislocada,miedo
dislocada,negativo
dislocada,tristeza
dislocado,enfado
dislocado,asco
dislocado,miedo
dislocado,negativo
dislocado,tristeza
disminución,negativo
disminución,negativo
disminuida,negativo
disminuido,negativo
disminuir,negativo
disminuir,tristeza
disolución,enfado
disolución,miedo
disolución,negativo
disolución,tristeza
disolución,sorpresa
disonancia,enfado
disonancia,negativo
disparar,enfado
disparar,miedo
disparar,negativo
disparates,negativo
disparidad,enfado
disparidad,asco
disparidad,negativo
disparidad,tristeza
disparo,enfado
disparo,miedo
disparo,negativo
disparo,enfado
disparo,miedo
disparo,negativo
disparo,tristeza
disparo,sorpresa
dispersión,negativo
disponer,asco
disposición,negativo
dispuesto,anticipación
dispuesto,positivo
dispuesto,confianza
disputa,enfado
disputa,negativo
disputa,enfado
disputa,asco
disputa,miedo
disputa,negativo
disputa,tristeza
distinción,positivo
distorsión,negativo
distorsionada,asco
distorsionada,negativo
distorsionado,asco
distorsionado,negativo
distracción,negativo
distraer,negativo
distraer,enfado
distraer,anticipación
distraer,negativo
distraída,enfado
distraída,negativo
distraído,enfado
distraído,negativo
disturbio,enfado
disturbio,miedo
disturbio,negativo
disturbio,tristeza
disturbio,sorpresa
disturbios,miedo
disturbios,tristeza
divagar,anticipación
divagar,negativo
diván,confianza
divergente,negativo
divergente,sorpresa
diversificada,positivo
diversificado,positivo
diversión,alegría
diversión,positivo
diverso,negativo
diverso,positivo
divertida,alegría
divertida,positivo
divertida,alegría
divertida,positivo
divertida,anticipación
divertida,alegría
divertida,positivo
divertidísimo,alegría
divertidísimo,positivo
divertidísimo,sorpresa
divertido,alegría
divertido,positivo
divertido,alegría
divertido,positivo
divertido,anticipación
divertido,alegría
divertido,positivo
divinidad,anticipación
divinidad,positivo
división,negativo
divorcio,enfado
divorcio,asco
divorcio,miedo
divorcio,negativo
divorcio,tristeza
divorcio,sorpresa
divorcio,confianza
divulgada,confianza
divulgado,confianza
dócil,positivo
doctor,positivo
doctor,confianza
doctrina,confianza
dogma,confianza
dogmático,enfado
dogmático,negativo
dólar,miedo
dólar,negativo
dólar,positivo
dólar,sorpresa
dolor,negativo
dolor,tristeza
dolor,negativo
dolor,tristeza
dolor,negativo
dolor,tristeza
dolor,negativo
dolor,tristeza
dolor,miedo
dolor,negativo
dolor,tristeza
dolor,asco
dolor,negativo
dolor,tristeza
dolor,miedo
dolor,negativo
dolor,tristeza
dolor de cabeza,negativo
dolor de muelas,miedo
dolor de muelas,negativo
dolores del parto,negativo
dolorida,miedo
dolorida,negativo
dolorida,tristeza
dolorida,enfado
dolorida,negativo
dolorida,tristeza
dolorido,miedo
dolorido,negativo
dolorido,tristeza
dolorido,enfado
dolorido,negativo
dolorido,tristeza
doloroso,enfado
doloroso,asco
doloroso,miedo
doloroso,negativo
doloroso,tristeza
dom,anticipación
dom,alegría
dom,positivo
dom,sorpresa
dom,confianza
dominación,enfado
dominación,miedo
dominación,negativo
dominación,tristeza
dominante,positivo
dominante,confianza
dominante,miedo
dominante,negativo
dominar,enfado
dominar,miedo
dominar,negativo
dominar,positivo
dominar,positivo
dominar,negativo
dominar,negativo
dominio,miedo
dominio,confianza
don,positivo
don,confianza
donación,positivo
doncella,positivo
dotación,positivo
dotación,confianza
dotada,positivo
dotada,positivo
dotado,positivo
dotado,positivo
dotar,positivo
dotar,confianza
drenaje,negativo
drogada,tristeza
drogada,negativo
drogado,tristeza
drogado,negativo
ducha,negativo
duda,miedo
duda,negativo
duda,tristeza
duda,confianza
dudoso,negativo
dudoso,miedo
dudoso,negativo
dudoso,confianza
duela,negativo
duelo,negativo
duelo,tristeza
duelo,enfado
duelo,anticipación
duelo,miedo
duende,enfado
duende,asco
duende,miedo
duende,asco
duende,miedo
duende,negativo
duende,miedo
duende,negativo
dueto,positivo
dulce,anticipación
dulce,alegría
dulce,positivo
dulce,sorpresa
dulce,confianza
dulce de azúcar,negativo
dulces,anticipación
dulces,alegría
dulces,positivo
dulzura,positivo
dupda,negativo
dupdo,negativo
duplicidad,enfado
duplicidad,negativo
duque,positivo
durabilidad,positivo
durabilidad,confianza
durable,positivo
durable,confianza
dureza,negativo
dureza,enfado
dureza,miedo
dureza,negativo
dureza,enfado
dureza,miedo
dureza,positivo
dureza,confianza
duro,negativo
echando humo,enfado
echando humo,negativo
economía,confianza
edad viril,positivo
edición,anticipación
edicto,miedo
edicto,negativo
edificación,anticipación
edificación,alegría
edificación,positivo
edificación,confianza
edificación,anticipación
edificación,alegría
edificación,positivo
edificación,confianza
edificio,positivo
educada,positivo
educado,positivo
educar,positivo
educativo,positivo
educativo,confianza
efectivo,enfado
efectivo,anticipación
efectivo,miedo
efectivo,alegría
efectivo,positivo
efectivo,confianza
efemérides,positivo
eficacia,positivo
eficaz,positivo
eficaz,confianza
eficiencia,positivo
eficiente,anticipación
eficiente,positivo
eficiente,confianza
efigie,enfado
egoísmo,negativo
egoísta,enfado
egoísta,asco
egoísta,negativo
ególatra,asco
ególatra,negativo
ejecución,enfado
ejecución,miedo
ejecución,negativo
ejecución,tristeza
ejecución,confianza
ejecutante,positivo
ejemplar,positivo
elaboración,positivo
elástico,positivo
elección,positivo
electa,positivo
electa,confianza
electo,positivo
electo,confianza
electorada,confianza
electorado,confianza
electricidad,positivo
eléctrico,alegría
eléctrico,positivo
eléctrico,sorpresa
elegancia,anticipación
elegancia,alegría
elegancia,positivo
elegancia,confianza
elegante,alegría
elegante,positivo
elegible,positivo
elegida,positivo
elegido,positivo
elevación,anticipación
elevación,miedo
elevación,alegría
elevación,positivo
elevación,confianza
elevada,negativo
elevado,negativo
eliminación,enfado
eliminación,asco
eliminación,miedo
eliminación,negativo
eliminación,tristeza
eliminación,negativo
élite,anticipación
élite,alegría
élite,positivo
élite,confianza
elocuencia,positivo
elocuente,positivo
elogiar,positivo
elusivo,negativo
elusivo,sorpresa
emancipación,anticipación
emancipación,alegría
emancipación,positivo
embajador,positivo
embajador,confianza
embaldosada,positivo
embaldosado,positivo
embarazo,asco
embarazo,negativo
embarazoso,negativo
embargo,negativo
embellecer,alegría
embellecer,positivo
embellecimiento,alegría
embellecimiento,positivo
embellecimiento,confianza
embolia,miedo
embolia,negativo
embolia,tristeza
emboscada,enfado
emboscada,miedo
emboscada,negativo
emboscada,sorpresa
embriagada,asco
embriagada,negativo
embriagado,asco
embriagado,negativo
embriagador,negativo
embriaguez,negativo
embrollada,negativo
embrollado,negativo
emergencia,miedo
emergencia,negativo
emergencia,tristeza
emergencia,sorpresa
emeritus,positivo
eminencia,positivo
eminencia,confianza
eminente,positivo
eminentemente,positivo
emir,positivo
emoción,anticipación
emoción,alegría
emoción,positivo
emoción,sorpresa
emoción,anticipación
emoción,miedo
emoción,alegría
emoción,positivo
emoción,sorpresa
emocionada,anticipación
emocionada,alegría
emocionada,positivo
emocionada,sorpresa
emocionada,confianza
emocionado,anticipación
emocionado,alegría
emocionado,positivo
emocionado,sorpresa
emocionado,confianza
emocionante,anticipación
emocionante,alegría
emocionante,positivo
emocionante,sorpresa
emocionante,anticipación
emocionante,alegría
emocionante,positivo
emocionante,sorpresa
empapar,negativo
empatía,positivo
empeñar,negativo
empeñar,confianza
empeorando,asco
empeorando,negativo
empeorando,tristeza
empequeñecer,enfado
empequeñecer,asco
empequeñecer,miedo
empequeñecer,negativo
empequeñecer,tristeza
empequeñecida,miedo
empequeñecida,negativo
empequeñecida,tristeza
empequeñecido,miedo
empequeñecido,negativo
empequeñecido,tristeza
emplear,confianza
emprendedor,positivo
empresa,anticipación
empujón,enfado
empujón,negativo
emular,positivo
en abundancia,positivo
en acción,negativo
en caso,enfado
en caso,asco
en caso,miedo
en caso,negativo
en caso,tristeza
en desacuerda,enfado
en desacuerda,negativo
en desacuerda,tristeza
en desacuerdo,enfado
en desacuerdo,negativo
en desacuerdo,tristeza
en desgracia,enfado
en desgracia,asco
en desgracia,negativo
en desgracia,tristeza
en desuso,enfado
en desuso,negativo
en mal estada,asco
en mal estada,negativo
en mal estado,asco
en mal estado,negativo
en marcha,anticipación
en peligro de extinción,miedo
en peligro de extinción,negativo
en pie,positivo
en verdad,positivo
en verdad,confianza
enajenar,enfado
enajenar,asco
enajenar,negativo
enano,negativo
encadenar,enfado
encadenar,anticipación
encadenar,asco
encadenar,miedo
encadenar,negativo
encadenar,tristeza
encaja,enfado
encaja,negativo
encallada,negativo
encallado,negativo
encantada,alegría
encantada,positivo
encantada,confianza
encantada,alegría
encantada,negativo
encantada,positivo
encantada,anticipación
encantada,alegría
encantada,positivo
encantada,sorpresa
encantado,alegría
encantado,positivo
encantado,confianza
encantado,alegría
encantado,negativo
encantado,positivo
encantado,anticipación
encantado,alegría
encantado,positivo
encantado,sorpresa
encantador,positivo
encantador,anticipación
encantador,alegría
encantador,positivo
encantador,confianza
encantador,anticipación
encantador,alegría
encantador,positivo
encantador,anticipación
encantador,alegría
encantador,positivo
encantador,tristeza
encantador,sorpresa
encantador,confianza
encantar,anticipación
encantar,alegría
encantar,positivo
encantar,sorpresa
encanto,positivo
encapotada,negativo
encapotado,negativo
encapuchada,miedo
encapuchado,miedo
encarcelada,enfado
encarcelada,asco
encarcelada,miedo
encarcelada,negativo
encarcelada,tristeza
encarcelado,enfado
encarcelado,asco
encarcelado,miedo
encarcelado,negativo
encarcelado,tristeza
encarcelamiento,enfado
encarcelamiento,asco
encarcelamiento,miedo
encarcelamiento,negativo
encarcelamiento,tristeza
encarcelar,negativo
enciclopedia,positivo
enciclopedia,confianza
enclave,negativo
enclenque,miedo
enclenque,negativo
enclenque,tristeza
encogerse,asco
encogerse,miedo
encogerse,negativo
encogerse,tristeza
encogida,negativo
encogido,negativo
encogimiento,miedo
encogimiento,negativo
encogimiento,tristeza
encontró,alegría
encontró,positivo
encontró,confianza
encubrir,negativo
encubrir,tristeza
encuentro casual,negativo
encuesta,confianza
endeble,asco
endeble,miedo
endeble,negativo
endémico,asco
endémico,miedo
endémico,negativo
endémico,tristeza
endocarditis,miedo
endocarditis,tristeza
enema,asco
enemigo,enfado
enemigo,asco
enemigo,miedo
enemigo,negativo
enemigo,enfado
enemigo,miedo
enemigo,negativo
enemistad,enfado
enemistad,miedo
enemistad,negativo
enemistad,tristeza
energético,positivo
enfada,enfado
enfada,negativo
enfado,enfado
enfado,negativo
enfatizar,confianza
enfermedad,enfado
enfermedad,asco
enfermedad,miedo
enfermedad,negativo
enfermedad,tristeza
enfermedad,miedo
enfermedad,negativo
enfermedad,tristeza
enfermedad,miedo
enfermedad,negativo
enfermedad,negativo
enfermedad,asco
enfermedad,miedo
enfermedad,negativo
enfermedad,tristeza
enfermero,positivo
enfermero,confianza
enfermera,positivo
enfermera,confianza
enfermiza,negativo
enfermiza,asco
enfermiza,negativo
enfermiza,tristeza
enferma,miedo
enferma,negativo
enferma,tristeza
enferma,asco
enferma,miedo
enferma,negativo
enferma,tristeza
enferma,enfado
enferma,asco
enferma,miedo
enferma,negativo
enferma,tristeza
enfermas,asco
enfermas,negativo
enfermas,tristeza
enfermizo,negativo
enfermizo,asco
